ts,size_btc,spread_exec_usd
2025-08-22T14:28:39.358261Z,0.1,14.3999
2025-08-22T14:28:39.359259Z,1.0,24.9819
2025-08-22T14:28:39.359259Z,5.0,
2025-08-22T14:28:39.359259Z,10.0,
2025-08-22T14:28:39.868301Z,0.1,14.3999
2025-08-22T14:28:39.869301Z,1.0,27.0744
2025-08-22T14:28:39.869301Z,5.0,
2025-08-22T14:28:39.869301Z,10.0,
2025-08-22T14:28:40.359375Z,0.1,10.2954
2025-08-22T14:28:40.360374Z,1.0,16.6378
2025-08-22T14:28:40.361372Z,5.0,21.3718
2025-08-22T14:28:40.361372Z,10.0,
2025-08-22T14:28:40.870226Z,0.1,0.1000
2025-08-22T14:28:40.871276Z,1.0,7.5525
2025-08-22T14:28:40.872226Z,5.0,14.5985
2025-08-22T14:28:40.883363Z,10.0,20.8822
2025-08-22T14:28:41.401355Z,0.1,0.1000
2025-08-22T14:28:41.403248Z,1.0,0.1000
2025-08-22T14:28:41.404246Z,5.0,20.2372
2025-08-22T14:28:41.404246Z,10.0,
2025-08-22T14:28:41.910542Z,0.1,0.1000
2025-08-22T14:28:41.911549Z,1.0,0.1000
2025-08-22T14:28:41.912560Z,5.0,38.2342
2025-08-22T14:28:41.912560Z,10.0,
2025-08-22T14:28:42.422477Z,0.1,0.1000
2025-08-22T14:28:42.423477Z,1.0,0.1000
2025-08-22T14:28:42.424477Z,5.0,40.4789
2025-08-22T14:28:42.424477Z,10.0,
